source_file,source_header,bulgarian_header,technical_hidden_by_default,unexpected_ascii_words,forbidden_tokens,pass
data/historical_draws.csv,draw_id,Тираж идентификатор,False,,,True
data/historical_draws.csv,date,Дата,False,,,True
data/historical_draws.csv,n1,Число 1,False,,,True
data/historical_draws.csv,n2,Число 2,False,,,True
data/historical_draws.csv,n3,Число 3,False,,,True
data/historical_draws.csv,n4,Число 4,False,,,True
data/historical_draws.csv,n5,Число 5,False,,,True
data/historical_draws.csv,n6,Число 6,False,,,True
data/historical_draws.csv,year,Година,False,,,True
data/historical_draws.csv,draw_number,Номер на тиража,False,,,True
data/historical_draws.csv,draw_position,Позиция на тегленето,False,,,True
data/historical_draws.csv,source_url,Адрес на източника,False,,,True
data/historical_draws.csv,draw_no,Номер на тиража,False,,,True
data/historical_draws.csv,bonus_number,Допълнително число,False,,,True
data/historical_draws.csv,source,Източник,False,,,True
data/prize_winner_history.csv,draw_key,Тираж,False,,,True
data/prize_winner_history.csv,draw_year,Година на тиража,False,,,True
data/prize_winner_history.csv,draw_date,Дата на тиража,False,,,True
data/prize_winner_history.csv,numbers_text,Изтеглени числа,False,,,True
data/prize_winner_history.csv,jackpot_eur,Джакпот (EUR),False,,,True
data/prize_winner_history.csv,winners_6,Печеливши с 6 числа,False,,,True
data/prize_winner_history.csv,prize_6_eur,Печалба за 6 числа (EUR),False,,,True
data/prize_winner_history.csv,total_6_eur,Общо за 6 числа (EUR),False,,,True
data/prize_winner_history.csv,winners_5,Печеливши с 5 числа,False,,,True
data/prize_winner_history.csv,prize_5_eur,Печалба за 5 числа (EUR),False,,,True
data/prize_winner_history.csv,total_5_eur,Общо за 5 числа (EUR),False,,,True
data/prize_winner_history.csv,winners_4,Печеливши с 4 числа,False,,,True
data/prize_winner_history.csv,prize_4_eur,Печалба за 4 числа (EUR),False,,,True
data/prize_winner_history.csv,total_4_eur,Общо за 4 числа (EUR),False,,,True
data/prize_winner_history.csv,winners_3,Печеливши с 3 числа,False,,,True
data/prize_winner_history.csv,prize_3_eur,Печалба за 3 числа (EUR),False,,,True
data/prize_winner_history.csv,total_3_eur,Общо за 3 числа (EUR),False,,,True
data/prize_winner_history.csv,imported_at_utc,Импортирано на,False,,,True
data/prize_winner_history.csv,note,Бележка,False,,,True
data/prize_winner_history.csv,validation_errors,Грешки при проверката,False,,,True
data/raw/toto49_2026_statistics/cold_numbers_2026.csv,number,Число,False,,,True
data/raw/toto49_2026_statistics/cold_numbers_2026.csv,draw_count,Тираж брой,False,,,True
data/raw/toto49_2026_statistics/cold_numbers_2026.csv,share_of_all_drawn_numbers,Дял от всички изтеглени числа,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Тираж,Тираж,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Дата,Дата,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Число 1,Число 1,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Число 2,Число 2,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Число 3,Число 3,False,,,True
