code,model_name_bg,model_name_en,category_bg,mode_bg,lifecycle_bg,health_status_bg,draw_reference,dataset_rows,artifacts_present,artifacts_expected,primary_artifact,missing_artifacts,role_bg,status_note_bg,status_type
v41,Rules-aware анализ на основните числа,Rules-aware Main Number Analysis,Базов статистически сигнал,Синхрон,Синхронизиран слой,OK - синхрон,10058,10058,2,2,reports/v41_model_retraining_summary.json,,"Честота, recency и SGD сигнали върху правилния 6/49 набор от данни.",Базов сигнален слой.,synced
v50,Анализ на двойки и групи,Pair and Group Intelligence,Структурен анализ,Отчет,Помощен отчет,OK - наличен,10058,10058,2,2,reports/v50_pair_group_summary.md,,Помага с двойки и тройки числа.,"Помощен отчет, не прогноза.",report
v51,Оценка на пакет от комбинации,Ticket Portfolio Intelligence,Пакетна оценка,Отчет,Помощен отчет,OK - наличен,10058,10058,2,2,reports/v51_ticket_portfolio_summary.md,,"Оценява фиш като пакет, не само една комбинация.",Помощен отчет за фиш.,report
v58,Обединена умна оценка,Smart Ensemble Score,Обединена оценка,Активен,Активен слой,OK - активен,10058,10058,2,2,reports/v58_smart_ensemble_summary.json,,Обединява няколко статистически сигнала.,Участва в общата оценка.,active
v63,Табло за надеждност на моделите,Model Reliability Dashboard,Контрол на надеждност,Контрол,Контролен слой,OK - контрол,10058,10058,2,2,reports/v63_model_reliability_summary.json,,Показва историческа надеждност.,Контролен слой за надеждност.,control
v65,Адаптивно тегло на моделите,Adaptive Model Weighting,Адаптивни тегла,Синхрон,Синхронизиран слой,OK - синхрон,10058,10058,3,3,reports/v65_model_weighting_summary.json,,Превръща надеждността в тегла.,Управлява теглата на моделите.,synced
v66,Претеглен обединен модел,Weighted Smart Ensemble,Претеглен обединен анализ,Активен,Активен слой,OK - активен,10058,10058,2,2,reports/v66_weighted_smart_ensemble_summary.json,,Комбинира сигналите с тегла.,Претеглен активен scoring слой.,active
v70,Приложен кандидат-пакет,Applied Candidate Portfolio,Приложен референтен пакет,Активен,Активен слой,OK - активен,10058,10058,2,2,reports/v70_applied_candidate_portfolio_summary.json,,Пази приложен референтен пакет.,Референтен пакет за оценка.,active
v75,Невронен мета модел,Neural Meta Learner,Невронен мета слой,Активен,Активен слой,OK - активен,10058,10058,2,2,reports/v75_neural_meta_learner_summary.json,,Активен невронен слой с 90 epochs.,Текущият активен невронен избор.,active
v84,Сравнение на модели във времето,Model Comparison Forward Test,Заключена проверка,Контрол,Контролен слой,OK - контрол,48,10058,3,3,reports/v84_model_comparison_summary.json,,Заключва 48 комбинации за бъдеща реална проверка.,"48 реда, 1 snapshot, 6 групи x 8 комбинации.",control
v85,Проверка на невронни епохи,Neural Epoch Comparison Audit,Контролна проверка,Проверка,Само проверка,OK - само проверка,90/150/300/500,10058,3,3,reports/v85_neural_epoch_comparison_summary.json,,"Сравнява 90, 150, 300 и 500 epochs. Не сменя активния модел.",Най-добър резултат: 90 epochs. 500 не е активен.,audit
