path,line,original,normal_mode_text,version_label_remaining,technical_mode_preserves_original
src/post_bst_model_data_refresh_engine.py,449,- Latest v40 normalized draw: **,- Latest normalized draw: **,False,True
src/post_bst_model_data_refresh_engine.py,450,- Latest v41 canonical draw: **,- Latest canonical draw: **,False,True
src/prediction_engine.py,171,"Build the v36 statistical prediction layer.      The output is a prediction-style ranking, not a claim that lottery draws are predictable.     ","Build the statistical prediction layer. The output is a prediction-style ranking, not a claim that lottery draws are predictable.",False,True
src/prediction_engine.py,266,Прогнозен статистически модул v36,Прогнозен статистически модул,False,True
src/v100_final_release_lock_engine.py,31,"Step 100 е финално заключване на v1 workflow. Той проверява готовността на проекта, реалния цикъл на тиража, активния план, историята и потребителските действия. Не добавя прогноза, не променя математиката и не гарантира печалба.","Step 100 е финално заключване на работният процес. Той проверява готовността на проекта, реалния цикъл на тиража, активния план, историята и потребителските действия. Не добавя прогноза, не променя математиката и не гарантира печалба.",False,True
src/v100_final_release_lock_engine.py,281,"v97, v98, v99, v100",",,,",False,True
src/v101_real_use_protocol_section.py,115,v101-pill-ok,-pill-ok,False,True
src/v101_real_use_protocol_section.py,115,v101-pill-warn,-pill-warn,False,True
src/v103_clean_release_checkpoint_engine.py,356,v103.1,Вътрешна версия,False,True
src/v103_clean_release_checkpoint_engine.py,354,v103.1,Вътрешна версия,False,True
src/v106_1_post_draw_dataset_sync_engine.py,44,"Step 106.1 поправя post-draw dataset синхрона след реален тираж: historical, v40 normalized и v41 canonical трябва да имат еднакъв брой редове и един и същ последен тираж. Това не променя прогнозната математика, а обновява производните dataset-и и отчетите след запис.","Step 106.1 поправя post-draw dataset синхрона след реален тираж: historical, normalized и canonical трябва да имат еднакъв брой редове и един и същ последен тираж. Това не променя прогнозната математика, а обновява производните dataset-и и отчетите след запис.",False,True
src/v106_1_post_draw_dataset_sync_engine.py,214,v106=,=,False,True
src/v106_1_post_draw_dataset_sync_engine.py,220,v99=,=,False,True
src/v106_1_post_draw_dataset_sync_engine.py,220,", v100=",", =",False,True
src/v106_1_post_draw_dataset_sync_engine.py,220,", v101=",", =",False,True
src/v106_post_draw_status_sync_engine.py,189,v97=,=,False,True
src/v106_post_draw_status_sync_engine.py,194,v98=,=,False,True
src/v106_post_draw_status_sync_engine.py,199,v99=,=,False,True
src/v106_post_draw_status_sync_engine.py,204,v100=,=,False,True
src/v106_post_draw_status_sync_engine.py,209,v101=,=,False,True
src/v107_model_training_policy_engine.py,210,"v77, v78, v94, v95, v98, v99, v100, v101",",,,,,,,",False,True
src/v108_user_menu_live_status_sync_engine.py,159,"Потребителското меню вече зарежда live dataset status, а не само стария v86 model registry.","Потребителското меню вече зарежда live dataset status, а не само стария model registry.",False,True
src/v108_user_menu_live_status_sync_engine.py,164,Редовете и последният тираж не трябва да идват директно от v86 summary.,Редовете и последният тираж не трябва да идват директно от summary.,False,True
src/v108_user_menu_live_status_sync_engine.py,214,"Step 108 поправя потребителското меню да показва текущия post-draw dataset status, вместо остарял v86 registry snapshot.","Step 108 поправя потребителското меню да показва текущия post-draw dataset status, вместо остарял registry snapshot.",False,True
src/v109_sqlite_journal_engine.py,331,Ред от active plan v94.,Ред от active plan.,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,76,v117 total_lines=,total_lines=,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,81,v117 total_price_eur=,total_price_eur=,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,86,v96 active_plan_combinations=,active_plan_combinations=,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,91,v96 active_plan_cost_eur=,active_plan_cost_eur=,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,96,v97 combination_count=,combination_count=,False,True
src/v117_1_add_draw_ticket_pack_price_sync_engine.py,101,v97 cost_eur=,cost_eur=,False,True
src/v150_3_user_version_cleanup.py,11,V1 workflow е заключен като готов за следващ реален тираж.,Работният процес е заключен и е готов за следващия реален тираж.,False,True
src/v150_3_user_version_cleanup.py,13,V1 работен процес е заключен като готов за следващ реален тираж.,Работният процес е заключен и е готов за следващия реален тираж.,False,True
src/v150_3_user_version_cleanup.py,15,Финално заключване v1,Финално заключване,False,True
src/v150_3_user_version_cleanup.py,16,Финално заключване V1,Финално заключване,False,True
src/v150_3_user_version_cleanup.py,17,V1 lock е активен,Финалното заключване е активно,False,True
src/v150_3_user_version_cleanup.py,18,V1 lock,Финално заключване,False,True
src/v150_3_user_version_cleanup.py,19,V1 checkpoint,заключена контролна точка,False,True
src/v150_3_user_version_cleanup.py,23,Пълен refresh v41 → v71,Пълно обновяване на моделите,False,True
src/v150_3_user_version_cleanup.py,24,Пълен refresh v41 → v51,Обновяване на оценката на фиша,False,True
src/v150_3_user_version_cleanup.py,25,Прогнозен статистически модул v36,Прогнозен статистически модул,False,True
src/v150_3_user_version_cleanup.py,26,Версия на анализа: V41,Текущ анализ по действащите правила,False,True
src/v150_3_user_version_cleanup.py,27,"Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси.",Бързият режим пропуска тежките лабораторни процеси.,False,True
src/v150_3_user_version_cleanup.py,29,Тежките процеси v67 и v75 не блокират стандартния поток след запис на тираж.,Тежките лабораторни процеси не блокират стандартния поток след запис на тираж.,False,True
src/v150_3_user_version_cleanup.py,34,V1 workflow is locked and ready for the next real draw.,работният процес is locked and ready for the next real draw.,False,True
src/v150_3_user_version_cleanup.py,36,V1 lock,Финално заключване,False,True
src/v150_3_user_version_cleanup.py,37,V1 checkpoint,заключена контролна точка,False,True
src/v150_3_version_label_integrity_engine.py,32,V1 работен процес е заключен като готов за следващ реален тираж.,Работният процес е заключен и е готов за следващия реален тираж.,False,True
src/v150_3_version_label_integrity_engine.py,36,V1 workflow е заключен като готов за следващ реален тираж.,Работният процес е заключен и е готов за следващия реален тираж.,False,True
src/v150_3_version_label_integrity_engine.py,39,V94 активен 20260623T163844Z,Активният план е наличен,False,True
src/v150_3_version_label_integrity_engine.py,40,Последни прогнози — v41,Последни прогнози,False,True
src/v150_3_version_label_integrity_engine.py,41,Комбинирана прогноза — v42,Комбинирана прогноза,False,True
src/v150_3_version_label_integrity_engine.py,42,Финални прогнозни фишове — v45,Финални прогнозни фишове,False,True
src/v150_3_version_label_integrity_engine.py,43,Пълен refresh v41 → v71,Пълно обновяване на моделите,False,True
src/v150_3_version_label_integrity_engine.py,45,"Бързият режим пропуска v67 и v75, защото са тежки лабораторни процеси.",Бързият режим пропуска тежките лабораторни процеси.,False,True
src/v150_3_version_label_integrity_engine.py,48,Прогнозен статистически модул v36,Прогнозен статистически модул,False,True
src/v150_3_version_label_integrity_engine.py,49,Версия на анализа: V41,Текущ анализ по действащите правила,False,True
